ACCT 101	PRINCIPLES OF ACCOUNTING
ACCT 203	MANAGEMENT ACCOUNTING
AFRC 299	DIRECTED STUDY
ARAB 102	ELEMENTARY ARABIC II
ARTH 010	FROM THE STONE AGE TO OUR AGE
ARTH 143	ART FROM 1940 TO 1970
ARTH 151	TOP: HOW HOUSES BUILD PEOPLE
ARTH 151	TOP:MATER'L CULTURE OF UKIYO-E
ARTH 210	ART HIST: METHODS & TEACHING
ARTH 219	SP TP:SOC'L IDENTITY GREEK ART
ARTH 245	URBAN ART IN JAZZ AGE NEW YORK
ARTH 297	HONORS
ARTH 298	INTERNSHIP
ARTH 299	DIRECTED STUDY
ARTS 100	VISUAL STUDIES: 2D DESIGN
ARTS 101	MYTH & SYMBOL/MIXED MEDIA
ARTS 102	DRAWING: EYE, MIND, HAND
ARTS 119	INTRO PHOTO MEDIA
ARTS 120	INTRODUCTION TO PHOTOGRAPHY
ARTS 121	INTERMEDIATE PHOTOGRAPHY
ARTS 122	INTRO TO DIGITAL PHOTOGRAPHY
ARTS 124	INTRO TO GRAPHIC DESIGN
ARTS 125	GRAPHIC DESIGN WORKSHOP
ARTS 129	DRAWING:THE BODY
ARTS 133	PAINTING II:STATES OF BEING
ARTS 136	SCULPTURAL DYNAMICS
ARTS 137	WHAT & WHERE/SCULPTURAL PRACT
ARTS 158	PRINTMAKING I
ARTS 254	DESIGNER AS ENTREPRENEUR
ARTS 258	PRINT WKSHP: ARTIST BOOKS
ARTS 280	ADV TP:OBSERVATIONAL ABSTRACTN
ARTS 289	SENIOR THESIS
ARTS 298	INTERNSHIP
ARTS 299	DIRECTED STUDY
AS 297	HONORS
AS 299	DIRECTED STUDY
AS 299	DS: REFLECTIONS ON JAPAN
ASTR 002	PLANETS & SPACE EXPLORATION
BAN 104	INTRO TO MGMT INFO SYSTEMS
BCMB 131	RECOMBINANT DNA
BCMB 264	BIOPHYSICAL CHEMISTRY
BCMB 272	BIOCHEMISTRY II
BCMB 276	CHEM'L BIO-TEC & APPS IN RSRCH
BCMB 279	COMPUTERS IN BIOCHEMISTRY
BCMB 297	HONORS
BCMB 298	INTERNSHIP
BCMB 299	DIRECTED STUDY
BCMB 317	RESEARCH
BCMB 364	BIOPHYSICAL CHEMISTRY
BCMB 372	BIOCHEMISTRY II
BCMB 376	CHEM'L BIO-TEC & APPS IN RSRCH
BCMB 379	COMPUTERS IN BIOCHEMISTRY
BCMB 394	DISSERTATION WRITING
BCMB 399	DIRECTED STUDY
BCOM 170	MANAGERIAL COMMUNICATIONS
BIOL 084	BIODIVERSITY
BIOL 102	INTRO TO BIOLOGY II
BIOL 105	EVOLUTION
BIOL 106	INTRO TO BIOSTATISTICS
BIOL 109	MICROBIOLOGY
BIOL 111	COMPARATIVE & HUMAN ANATOMY
BIOL 117	EPIDEMIOLOGY
BIOL 118	GENETICS
BIOL 209	THE GENOME PROJECT
BIOL 236	BIOLOGY OF CANCER
BIOL 238	SEMINAR IN CELL BIOLOGY
BIOL 243	SEMINAR IN EVOLUTION
BIOL 268	PLANT-MICROBE INTERACTIONS
BIOL 276	BIOLOGY OF SOCIAL INSECTS
BIOL 283	BIOFRONTIERS:INTRO QUANTATIVE
BIOL 293	PEER LEARNING ASSISTANT
BIOL 297	HONORS
BIOL 298	INTERNSHIP
BIOL 299	DIRECTED STUDY
BIOL 309	THE GENOME PROJECT
BIOL 317	RESEARCH
BIOL 336	BIOLOGY OF CANCER
BIOL 338	SEMINAR IN CELL BIOLOGY
BIOL 343	SEMINAR IN EVOLUTION
BIOL 350	GRADUATE RESEARCH SEMINAR
BIOL 368	PLANT-MICROBE INTERACTIONS
BIOL 376	BIOLOGY OF SOCIAL INSECTS
BIOL 383	BIOFRONTIERS:INTRO QUANTATIVE
BIOL 394	DISSERTATION WRITING
BIOL 396	MASTER'S THESIS
BIOL 399	DIRECTED STUDY
BLAW 262	BUSINESS ETHICS & LAW
CHEM 102	INTRO TO CHEMISTRY II
CHEM 132	ORGANIC CHEMISTRY II
CHEM 140	ANALYTICAL CHEMISTRY
CHEM 199	INTRODUCTION TO RESEARCH
CHEM 250	INORGANIC CHEMISTRY
CHEM 262	PHYSICAL CHEMISTRY II
CHEM 297	HONORS
CHEM 299	DIRECTED STUDY
CHEM 317	RESEARCH
CHEM 350	INORGANIC CHEMISTRY
CHEM 362	PHYSICAL CHEMISTRY II
CHEM 380	RESEARCH SEMINAR
CHEM 399	DIRECTED STUDY
CHIN 102	ELEMENTARY CHINESE II
CHIN 104	INTERMEDIATE CHINESE II
CLAS 124	INTRO TO CLASSICAL MYTHOLOGY
CLAS 299	DIRECTED STUDY
CMLT 130	NATIONAL IMAGINATION
CMLT 136	AFROFUTURISM & SOC JUSTICE
CRES 050	INTRO SWAHILI LANG & CULTURE
CSCI 120	INTRODUCTION TO COMPUTING
CSCI 121	DATA STRUCTURES
CSCI 122	INTRO TO DISCRETE STRUCTURES
